FE,SIO2,AL2O3,P
58.33,1.95,2.2,0.07
57.53,2.45,2.62,0.08
57.05,2.94,3.37,0.12
56.43,2.95,2.91,0.09
57.7,2.89,2.43,0.08
59.23,2.2,1.7,0.08
58.64,3.42,2.54,0.08
58.13,3.4,2.52,0.08
59.59,2.91,1.85,0.07
60.66,2.17,1.13,0.07
60.29,2.4,1.26,0.08
60.35,3.16,1.13,0.08
60.05,2.54,1.37,0.09
59.43,1.97,1.43,0.07
59.04,2.13,1.67,0.13
59.47,2.02,1.84,0.12
59.45,2.42,2.16,0.13
60.48,1.77,1.58,0.11
60.37,2.05,1.98,0.11
58.13,3.35,2.72,0.08
58.74,3.51,2.62,0.07
58.38,2.47,1.64,0.09
59.41,2.57,1.56,0.09
59.28,2.51,1.21,0.08
59.86,2.18,1.16,0.08
59.99,2.2,1.3,0.07
60.73,2.14,1.3,0.06
58.95,3.49,1.38,0.06
60.49,2.17,1.09,0.06
59.26,2.86,1.6,0.08
58.84,3.14,1.59,0.07
59.42,2.94,1.56,0.08
59.69,2.89,1.48,0.08
57.87,3.44,1.7,0.11
58.55,3.88,1.78,0.07
59.47,3.34,1.96,0.09
58.54,3.93,1.84,0.07
59.66,3.22,1.9,0.11
60.17,3.45,1.32,0.08
61.55,3.26,1.63,0.07
61.12,3.87,1.69,0.08
60.72,5.16,2.03,0.07
59.61,2.62,1.7,0.08
61.26,1.94,0.99,0.06
61.45,1.91,1.01,0.05
61.73,1.79,0.98,0.06
60.46,2.36,1.21,0.06
60.91,2.26,1.12,0.05
60.55,2,1.07,0.05
60,2.18,1.13,0.06
60.4,1.81,0.95,0.09
61.33,1.35,0.7,0.05
61.2,1.66,0.84,0.05
60.39,1.66,1.18,0.04
61.1,1.52,0.89,0.05
61.5,1.62,0.95,0.05
60.78,2.11,1.32,0.06
60.2,2.23,1.28,0.06
60.23,2.54,1.48,0.07
58.77,3.02,2.22,0.07
59.71,2.89,1.81,0.07
60.66,2.17,1.62,0.06
59.82,2.64,1.91,0.06
58.91,2.73,2.02,0.06
59.64,2.4,2.22,0.07
59.34,2.29,1.88,0.06
59.15,2.42,2.1,0.05
59.35,2.62,1.78,0.05
58.39,2.86,1.79,0.09
58.64,3.07,1.99,0.08
59.17,2.42,1.51,0.08
59.42,2.47,1.22,0.07
59.55,2.45,1.1,0.06
59.21,2.6,1.22,0.07
59.47,2.57,1.3,0.06
59.67,2.94,1.16,0.05
60.49,2.19,1.09,0.05
60.05,2.4,1.28,0.06
59.48,2.4,1.44,0.07
60.75,1.94,1.07,0.07
60.66,2.11,1.19,0.05
59.53,2.24,1.26,0.05
59.46,2.45,1.37,0.06
59.12,2.96,1.47,0.07
59.85,2.37,1.27,0.06
60.18,2.15,1.14,0.06
59.84,2.53,1.45,0.07
59.14,3.04,1.65,0.08
59.54,2.66,1.44,0.06
59.92,2.9,1.43,0.06
59.38,2.83,1.29,0.05
59.65,3.26,1.58,0.06
60.47,2.66,1.39,0.06
61.45,2.41,1.3,0.06
60.48,2.6,1.52,0.06
60.7,2.66,1.47,0.07
60.35,2.96,1.66,0.06
61.33,2.57,1.61,0.09
59.94,3.15,2.03,0.1
60.93,2.48,1.59,0.06
59.29,3.38,1.85,0.07
60.19,2.8,1.42,0.06
60.41,2.48,1.18,0.07
61.03,2.26,1.24,0.06
60.79,2.41,1.27,0.06
61.16,2.22,1.09,0.06
61.91,1.78,0.95,0.05
61.2,2.06,1.24,0.05
61.2,2.24,1.13,0.05
59.85,4.02,1.28,0.05
60.08,2.9,1.33,0.05
63.27,1.61,0.76,0.05
62.36,1.68,0.98,0.05
61.47,2.57,1.14,0.05
60.01,2.74,1.6,0.08
62.31,1.64,1.16,0.07
61.95,1.78,1.14,0.06
62.59,1.51,0.98,0.06
61.4,1.96,1.37,0.06
61.37,1.64,1.06,0.05
61.3,1.93,1.2,0.04
61.23,1.86,1.21,0.04
60.76,2.23,1.57,0.04
61.91,1.68,1.09,0.03
61.15,1.96,1.37,0.04
61.78,1.95,1.62,0.03
61.52,1.69,1.54,0.03
60.89,1.91,1.47,0.03
60.8,1.98,1.56,0.03
61.62,1.75,1.27,0.02
60.05,2.43,2.06,0.03
61.56,4.92,1.62,0.05
61.7,4.42,1.44,0.08
59.91,2.3,1.38,0.08
60.43,2.06,1.2,0.06
59.24,2.22,1.46,0.05
61.28,1.85,0.91,0.04
59.95,2.61,1.15,0.04
59.46,2.37,1.84,0.04
59.59,2.23,1.7,0.03
59.46,2.42,1.89,0.05
58.84,2.22,1.92,0.03
58.55,2.58,1.55,0.03
59.31,2.27,1.24,0.04
60.54,2.26,0.96,0.05
61.44,2.06,1.15,0.04
60.3,2.62,1.2,0.04
60.85,2.86,1.11,0.06
60.01,2.82,1.02,0.04
60.26,2.98,1.35,0.05
61.44,2.52,1.23,0.05
60.78,3.06,1.72,0.09
62.91,2.05,1.18,0.04
60.67,3.6,1.34,0.05
58.35,5.39,2.51,0.04
60.64,4.14,1.73,0.04
59.96,2.27,1.24,0.06
60.05,2.31,1.05,0.05
59.93,2.32,0.96,0.06
59.56,2.69,1.28,0.07
59.38,2.75,1.43,0.06
59.76,2.95,1.26,0.05
59.7,2.38,1.22,0.06
58.77,3.12,1.93,0.08
58.71,3.05,1.61,0.09
60.78,2.44,1.22,0.07
60.43,2.49,1.19,0.06
59.92,2.33,1.08,0.04
59.82,2.47,1.06,0.05
59.69,2.67,1.23,0.06
60.34,2.52,1.21,0.06
60.09,2.68,1.29,0.07
59.7,2.78,1.34,0.07
59.51,3.21,1.52,0.06
59.97,2.72,1.35,0.05
59.5,3.21,1.76,0.06
61.07,2.22,1.14,0.06
59.44,2.98,1.76,0.05
61.38,2.11,0.94,0.05
59.81,3.04,1.64,0.06
59.66,3.17,1.53,0.08
60.33,2.93,1.63,0.06
58.63,3.6,2.45,0.06
60.16,2.54,1.56,0.08
60.58,2.2,1.34,0.06
60.47,2.3,1.36,0.06
60.84,2.08,1.23,0.06
61.33,2,1.14,0.05
60.93,2.24,1.23,0.05
61.34,2.25,1.38,0.05
60.19,2.55,1.5,0.05
59.19,3.49,1.54,0.05
60.48,2.37,1.42,0.07
63.49,1.6,0.77,0.05
62.83,1.72,0.84,0.05
63.15,1.91,0.89,0.05
61.38,2.36,1.33,0.06
61.56,2,1.26,0.06
62.43,1.72,1.13,0.05
61.41,2.33,1.23,0.05
59.8,2.48,1.03,0.04
58.93,2.9,1.5,0.05
60.33,2.27,1.08,0.04
61.05,2.03,1.08,0.07
60.01,2.28,1.22,0.06
59.25,2.76,1.51,0.06
60.32,2.47,1.08,0.06
59.43,3.05,1.28,0.06
60.16,2.39,1.04,0.06
57.29,4.26,2.22,0.07
58.4,3.57,1.55,0.09
60.35,2.8,1.32,0.08
58.68,3.69,1.89,0.08
57.26,4.11,1.92,0.05
58.57,4.4,1.92,0.08
58.91,4.33,1.84,0.09
57.9,4.88,2.14,0.08
58.57,4.93,1.75,0.07
59.93,3.68,1.56,0.08
60.08,3.13,1.37,0.08
60.75,2.59,1.25,0.1
60.91,3.8,3.02,0.15
55.51,3.9,2.94,0.12
56.19,3.7,2.38,0.09
58.35,3.32,2.23,0.09
59.47,2.93,1.8,0.07
59.31,2.48,1.31,0.07
59.05,2.53,1.52,0.07
60.2,2.31,0.91,0.07
59.66,2.6,1.21,0.08
60.48,2.19,0.98,0.05
58.28,2.85,1.87,0.07
57.14,3.78,2.1,0.06
57.18,3.7,1.93,0.07
60.1,2.65,1.04,0.05
61.91,2.25,0.78,0.05
59.39,3.68,1.19,0.05
61.86,1.98,0.79,0.04
62.46,1.68,0.56,0.03
62.03,1.98,0.93,0.04
62.09,1.97,0.88,0.04
57.77,3.5,1.52,0.05
61.24,2.45,1.18,0.04
62.51,2.08,0.8,0.04
61.86,1.86,0.75,0.04
61.55,1.89,0.63,0.03
62.65,2.31,0.83,0.03
60.88,3.41,1.09,0.03
60.53,3.53,1.23,0.03
59.97,5.04,1.45,0.03
59.9,4.31,1.26,0.03
61.37,3.94,0.88,0.03
60.94,2.06,1.14,0.06
61.04,2.17,1.31,0.06
58.96,3.01,1.63,0.06
60.94,1.8,1.13,0.05
60.03,2.78,1.3,0.04
60.81,2.06,1.3,0.05
59.96,2.64,1.4,0.05
59.03,3.36,1.73,0.05
62.01,2.19,1.24,0.06
62.89,1.73,0.96,0.06
61.97,2.04,1.09,0.05
60.82,2.26,1.17,0.05
63.07,1.43,0.88,0.05
61.85,1.86,1.08,0.06
61.76,1.95,1.08,0.05
61.17,2.45,1.26,0.06
60.52,2.53,1.27,0.06
58.75,3.1,1.67,0.05
61.19,2.26,1.21,0.04
60.47,2.32,1.34,0.04
60.13,2.55,1.46,0.04
60.63,2.25,1.2,0.03
60.24,2.63,1.56,0.04
59.5,2.91,1.75,0.04
58.77,2.79,1.87,0.05
61.58,1.98,0.89,0.07
60.09,2.2,1.19,0.06
59.61,2.45,1.19,0.05
59.5,2.54,1.29,0.06
59.81,2.68,1.09,0.05
58.93,3.58,1.6,0.06
58.5,3,1.81,0.07
59.27,3.07,1.39,0.07
60.6,2.53,1.02,0.07
60.02,2.81,1.22,0.09
59.76,2.65,1.2,0.06
57.99,4.82,1.45,0.06
60.56,3.38,1.74,0.1
60.83,3.8,1.84,0.08
60.44,3.81,1.68,0.06
60.42,2.77,1.12,0.06
60.06,3.58,1.49,0.06
61.29,2.94,1.3,0.06
60.22,3.28,1.31,0.05
60.36,3.47,1.02,0.06
59.31,3.84,1.43,0.06
61.14,2.76,1.19,0.05
59,4.55,1.4,0.06
59,4.55,1.4,0.06
59.5,3.65,1.48,0.05
59.5,3.65,1.48,0.05
62.7,2.07,0.96,0.05
62.7,2.07,0.96,0.05
61.6,2.85,1.05,0.05
61.6,2.85,1.05,0.05
60.4,3.87,1.29,0.06
60.4,3.87,1.29,0.06
62,2.19,1.19,0.06
62,2.19,1.19,0.06
62.2,2.09,1.2,0.05
62.2,2.09,1.2,0.05
61.9,1.72,0.87,0.03
61.9,1.72,0.87,0.03
62.7,1.91,1.06,0.03
62.7,1.91,1.06,0.03
60.8,2.34,1.33,0.04
60.8,2.34,1.33,0.04
61.1,2.26,1.36,0.03
61.1,2.26,1.36,0.03
61.19,1.89,1.16,0.06
61.11,2.55,1.18,0.06
60.98,2.13,1.22,0.06
58.95,3.32,1.77,0.06
60.98,2.02,1.27,0.04
60.21,2.74,1.57,0.06
60.4,2.37,1.43,0.06
58.94,2.86,1.39,0.05
58.38,3.34,2.02,0.06
62.08,2.26,1.26,0.06
62.08,3.1,0.98,0.05
61.81,2.16,1.22,0.05
60.53,2.54,1.27,0.05
63.4,1.57,0.99,0.06
62.54,1.89,1.24,0.05
61.33,2.18,1.23,0.06
59.74,2.72,1.57,0.06
60.44,2.44,1.25,0.05
59.89,2.4,1.23,0.04
59.69,2.64,1.33,0.04
60.77,2.21,1.05,0.04
60.6,2.24,1.16,0.03
59.41,2.66,1.31,0.04
58.71,2.87,1.57,0.04
61.15,2.65,1.43,0.03
60.47,3.31,2.03,0.04
60.56,2.77,1.53,0.04
60.11,3.1,1.51,0.03
60.62,2.01,1.24,0.07
61.1,1.7,1.17,0.06
60.46,2.4,1.43,0.07
60.66,2.1,1.4,0.07
59.76,2.96,1.8,0.08
60.39,2.31,1.49,0.06
60.72,2.04,1.42,0.06
60.71,2.69,1.33,0.06
57.75,4.35,1.92,0.06
58.83,3.22,1.81,0.06
63.1,1.85,0.88,0.05
62.67,2.25,0.93,0.05
61.36,2.35,1.15,0.05
61.68,2.35,1.33,0.07
63.24,1.59,0.82,0.05
62.37,2.19,1.09,0.05
62.45,2.1,1.28,0.06
60.45,3.11,1.89,0.06
62.07,2.31,1.14,0.04
60.91,2.65,1.18,0.04
61.58,2.11,1.05,0.04
60.97,2.52,1.42,0.05
61.45,2.65,1.43,0.04
62.02,2.3,1.46,0.04
61.64,2.77,1.64,0.04
62.12,2.29,1.42,0.03
60.95,2.22,1.25,0.03
60.99,2.38,1.38,0.04
62.37,2.09,1.16,0.03
61.13,2.57,1.35,0.03
60.08,3.26,1.56,0.03
58.06,3.46,2.18,0.07
60.65,2.42,0.96,0.07
60.62,2.68,1.11,0.07
60.34,2.34,1.18,0.07
59.16,3.65,1.87,0.06
60.42,2.57,1.33,0.05
60.5,2.62,1.29,0.05
61.26,2.04,1.18,0.05
59.22,3.17,1.61,0.06
58.21,3.29,1.88,0.07
60.29,2.59,1.42,0.07
60.85,2.05,1.02,0.06
61.75,2.03,1.01,0.05
59.72,2.94,1.4,0.06
63.06,1.65,1.06,0.05
62.24,1.88,1.29,0.05
60.7,2.55,1.28,0.06
60.47,2.55,1.33,0.06
60.43,2.37,1.2,0.05
58.66,2.79,1.73,0.05
58.63,2.86,1.47,0.05
60.71,2.66,1.48,0.04
60,2.47,1.48,0.05
60.76,2.12,1.07,0.04
60.1,2.74,1.35,0.05
60.16,3.23,1.58,0.04
60.39,2.4,1.47,0.07
60.43,2.56,1.37,0.08
60.23,2.76,1.47,0.08
60.34,2.38,1.13,0.05
59.51,2.83,1.14,0.05
59.65,2.44,1.15,0.04
59.23,2.62,1.45,0.05
60.07,2.42,1.24,0.05
57.22,4.08,1.95,0.07
60.25,2.25,1.04,0.05
60.97,2.17,0.86,0.05
60.33,2.44,1.12,0.05
61.01,2.28,1.01,0.04
61,2.71,0.93,0.05
61.16,2.55,1.07,0.05
59.35,2.97,1.41,0.07
59.28,3.16,1.37,0.07
60.37,2.43,0.84,0.07
58.98,3.07,1.12,0.06
59.73,2.63,1.06,0.05
60.5,2.31,1.02,0.05
60.09,2.56,0.79,0.03
59.95,2.5,0.97,0.03
60.33,2.47,1.19,0.03
59.98,2.44,1.14,0.03
59.52,2.71,1.14,0.03
60.27,2.37,1.19,0.03
60.74,2.78,1.32,0.03
59.46,3.04,1.68,0.09
61.17,1.94,1.23,0.07
60.35,2.18,1.43,0.07
60.23,2.39,1.55,0.08
61.58,1.76,1.11,0.05
59.49,2.93,1.74,0.07
60.74,2.1,1.34,0.05
61.13,1.82,1.17,0.05
60.76,2.24,1.09,0.05
59.12,3.87,1.4,0.06
58.6,3.01,1.76,0.06
62.25,1.86,0.83,0.05
63.34,2.02,0.74,0.04
61.68,2.18,0.96,0.05
59.37,3.17,1.48,0.05
63.33,1.57,0.98,0.05
61.65,2.17,1.1,0.04
62.25,3.25,1.2,0.05
62.52,2.49,1.55,0.06
62.51,2.3,1.27,0.05
60.67,2.72,1.48,0.05
62.34,2.03,1.07,0.04
60.38,2.62,1.52,0.04
62.55,2.05,1.09,0.03
62.82,1.97,0.98,0.03
61.42,2.24,1.52,0.03
61.89,2.22,1.22,0.03
59.73,2.87,1.47,0.04
59.79,3.14,1.5,0.03
60.51,2.84,1.48,0.04
60.21,3.17,1.45,0.06
59.93,2.4,1.54,0.08
60.1,2.45,1.3,0.06
59.96,2.49,1.21,0.06
59.79,2.35,1.14,0.05
59.19,3.14,1.26,0.05
59.42,2.6,1.19,0.05
59.07,2.71,1.56,0.05
58.06,3.2,1.85,0.05
57.49,3.52,1.83,0.06
58.86,3.23,1.44,0.07
60.96,2.55,1.13,0.07
59.26,2.85,1.3,0.07
61.29,2.39,1.4,0.06
62.32,1.97,1.12,0.05
61.81,2.14,1.21,0.05
61.32,2.24,1.08,0.04
59.89,2.56,1.15,0.06
59.73,2.42,1.04,0.05
59.41,2.88,1.16,0.05
59.65,2.76,1.19,0.04
59.39,2.95,1.48,0.04
61.73,2.66,1.19,0.07
60.75,3.05,1.49,0.08
60.07,2.75,1.18,0.07
59.87,2.64,1.37,0.06
59.42,2.87,1.3,0.06
60.76,2.55,1.25,0.06
60.49,2.7,1.39,0.05
59.45,3.06,1.65,0.07
59.88,3.03,1.46,0.07
61.37,2,0.91,0.05
61.81,1.95,1,0.05
60.03,3.51,1.05,0.04
62.28,1.93,0.85,0.05
61.1,2.59,1.21,0.06
60.73,2.4,1.08,0.07
60.98,2.28,1,0.1
60.93,2.2,1.12,0.1
58.16,3.05,1.99,0.11
59.38,2.33,1.36,0.08
57.62,3.3,2.49,0.09
58.74,2.64,1.46,0.1
59.37,2.71,1.33,0.09
58.51,2.78,1.52,0.1
59.76,2.39,0.98,0.08
59.93,2.36,1.03,0.07
60.71,2.28,1.12,0.06
58.53,3.25,1.72,0.06
60.98,2.4,1.3,0.06
62.58,1.81,0.97,0.05
62.13,2.17,1.22,0.05
58.31,2.97,1.55,0.06
62.18,2.08,1,0.05
62.21,1.86,0.99,0.04
62.51,2.05,1.01,0.04
60.48,2.97,1.47,0.05
60.99,2.58,1.2,0.04
61.07,2.76,1.17,0.04
59.43,3.31,1.46,0.04
59.55,4.37,2.28,0.03
60.13,3.61,1.94,0.03
58.54,3.86,1.89,0.03
61.63,2.37,1.26,0.03
61.71,2.3,1.03,0.03
59.04,3.73,1.79,0.02
62.43,2.6,1.37,0.03
61.39,3.06,1.52,0.03
60,3.52,1.17,0.09
61.24,2.04,1.42,0.08
60.9,2.24,1.51,0.08
61.29,2.16,1.47,0.07
61.11,2.39,1.57,0.07
60.96,2.01,1.31,0.06
61.05,2.33,1.33,0.06
61.27,1.98,1.03,0.05
61.08,2.18,1.42,0.05
57.69,4.29,2.3,0.06
59.97,2.83,1.55,0.06
63.31,1.7,0.86,0.05
61.79,2.29,1.06,0.06
59.41,3.19,1.66,0.05
62.48,1.68,0.88,0.05
61.74,2.08,1.07,0.05
61.7,2.6,1.38,0.05
63.01,2.22,1.3,0.05
61.74,2.6,0.9,0.04
61.22,2.33,1.31,0.04
61.05,2.92,0.89,0.03
61.05,3.02,0.99,0.03
63.02,1.75,1.04,0.03
62.99,1.84,0.94,0.03
61.92,2.17,1.46,0.03
60.49,3.01,1.29,0.03
59.76,3.44,1.47,0.04
59.7,3.25,1.75,0.04
60.1,2.94,2.06,0.03
59.4,3.55,2.25,0.04
59.67,3.69,1.9,0.09
58.78,3.35,1.68,0.08
59.34,2.92,1.57,0.08
60.84,2.34,1.13,0.07
59.71,2.83,1.28,0.07
59.96,2.95,1.16,0.07
58.57,3.79,1.71,0.06
60.06,2.99,1.5,0.06
60.28,2.77,1.43,0.07
63.44,1.72,0.88,0.06
62.18,2.06,0.94,0.05
62.79,2.02,1.13,0.06
62.4,2.1,1.04,0.05
62.55,1.7,0.92,0.06
60.23,2.63,1.62,0.08
60.23,2.63,1.62,0.08
61.22,2.9,1.41,0.07
61.22,2.9,1.41,0.07
62.05,2.05,1.08,0.05
62.05,2.05,1.08,0.05
58.81,3.73,1.84,0.06
58.81,3.73,1.84,0.06
62.71,2.1,0.86,0.04
62.71,2.1,0.86,0.04
62.66,2.47,1.16,0.05
62.66,2.47,1.16,0.05
61.71,2.82,1.42,0.06
61.71,2.82,1.42,0.06
61.3,2.66,1.31,0.05
61.3,2.66,1.31,0.05
59.43,3.41,1.43,0.04
59.43,3.41,1.43,0.04
59.71,3.53,1.44,0.03
59.71,3.53,1.44,0.03
59.56,4.17,1.42,0.03
59.56,4.17,1.42,0.03
61.91,1.96,1.26,0.06
60.9,2.28,1.39,0.06
60.76,2.35,1.32,0.06
60.17,2.68,1.29,0.06
59.94,2.83,1.3,0.06
60.26,2.63,1.22,0.06
59.5,2.8,1.3,0.05
59.1,3.78,1.23,0.05
59.44,3.49,0.97,0.04
56.88,4.44,1.98,0.07
62.38,2.1,0.79,0.05
61.68,2.39,1.02,0.05
58.23,3.46,1.47,0.04
62.08,2.22,1.08,0.05
62.42,2.14,1,0.05
62.65,2.27,0.99,0.05
59.73,3.66,1.44,0.05
58.92,3.43,1.49,0.07
61.5,2.22,1.52,0.08
60.81,2.66,1.53,0.09
60.86,2.4,1.44,0.07
59.78,3.21,1.76,0.06
61.01,2.5,1.76,0.07
60.5,3.07,1.61,0.06
61.36,2.05,1.24,0.06
60.39,3.06,1.5,0.05
60.5,2.5,1.35,0.07
62.58,1.7,0.62,0.04
61.78,2.79,0.88,0.05
61.72,2.29,1.21,0.05
61.68,2.32,1.12,0.06
62.05,2.07,0.93,0.05
60.97,3.14,1.06,0.05
61.2,2.97,1.44,0.05
61.61,2.63,1.49,0.05
62.22,2.05,1.26,0.06
59.65,2.63,1.41,0.05
59.45,2.76,1.54,0.04
56.59,3.93,1.77,0.04
57.8,3.98,1.26,0.03
57.51,4.63,1.36,0.03
62.37,2.1,1.12,0.04
60.29,3.26,1.74,0.04
59.04,4.13,1.98,0.04
59.9,4.07,1.59,0.03
59.63,3.43,2.29,0.09
61.58,2.19,1.21,0.09
59.82,3.18,1.5,0.07
61.4,2.35,1.44,0.06
60.49,2.85,1.55,0.06
61.51,2.19,1.15,0.05
56.2,5.21,3.06,0.06
58.33,3.52,1.67,0.07
63.32,1.82,0.81,0.05
61.73,2.4,1.14,0.06
58.7,3.46,1.66,0.05
59.26,3.49,1.81,0.06
62.32,2.02,1.09,0.06
62.19,2.17,1.27,0.06
61.56,2.17,1.28,0.06
60.76,2.97,1.69,0.06
60.89,2.56,1.33,0.06
60.52,2.44,1.18,0.04
60.77,2.48,1.01,0.03
59.73,2.81,1.19,0.03
60.18,3,1.13,0.03
60.02,3.08,1.32,0.03
60.8,3.01,1.14,0.02
58.7,3.31,1.83,0.09
58.65,3.52,1.75,0.1
58.85,3.13,1.54,0.1
59.21,2.53,1.55,0.08
58.84,2.83,1.4,0.08
58.99,3.15,1.21,0.07
60.42,2.97,1.33,0.07
60.89,2.63,1.18,0.07
62.46,1.95,0.99,0.06
62.69,1.83,0.89,0.05
60.86,2.56,1.14,0.06
62.97,1.76,0.86,0.05
61.63,2.22,1.07,0.06
61.67,2.29,1.16,0.05
59.66,3.13,1.67,0.06
60.27,2.81,1.24,0.05
60.39,2.87,1.14,0.04
60.66,2.21,0.85,0.11
60.34,2.48,1.39,0.1
57.34,3.68,2.72,0.12
58.24,4.49,2.68,0.13
59.38,4.09,1.98,0.11
59.15,2.55,1.31,0.09
56.61,3.85,2.61,0.1
58.64,2.59,1.6,0.1
59.04,2.62,1.32,0.09
59.24,2.47,1.29,0.07
58.28,2.99,1.95,0.05
58.64,3.01,1.73,0.04
61.34,2.05,1.17,0.05
61.56,1.63,1.25,0.05
60.75,1.85,0.99,0.04
60.85,2.16,1.49,0.06
